,Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing City,Billing Zip,Billing Province,Billing Country,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment Terms Name,Next Payment Due At,new_email,New Phone,Nombre modo privado,Calle modo privado,Direccion modo privado,Company_joined,Id
10,#5584,paid,2025-11-02 18:33:46 +0100,fulfilled,2025-11-02 20:33:30 +0100,yes,EUR,22.91,3.99,3.98,26.9,,6.09,Estándar,2025-11-02 18:33:46 +0100,1,Correa Manos Libres Honey Yellow - Manos Libres,29.0,,RDLEA-YELLOW-STANDARD,True,True,fulfilled,Madrid,'28010,M,ES,Gijón,'33392,O,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,6.09,VAT 21 %,3.98,,,,,,,,,,,Madrid,Asturias,,,email11@gmail.com,283705742,Name_0011,Street_0011,Addr_0011,,ID_710065D85E
11,#5583,paid,2025-11-02 16:13:59 +0100,fulfilled,2025-11-02 20:33:29 +0100,no,EUR,27.82,3.99,0.0,31.81,STOCK30,11.91,Standard Shipping,2025-11-02 16:13:59 +0100,1,Correa Manos Libres Matcha Green - Manos Libres,39.73,,RDLEA-MATCHA-STANDARD,True,True,fulfilled,Munich,'81541,,DE,Munich,'81541,,DE,,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,0.0,,,,,,,,,,,,,,,,,email12@yahoo.com,530043180988,Name_0012,Street_0012,Addr_0012,,ID_827BB66BF8
12,#5582,paid,2025-11-02 15:09:41 +0100,fulfilled,2025-11-02 20:33:28 +0100,yes,EUR,47.4,3.99,8.23,51.39,,12.6,Estándar,2025-11-02 15:09:41 +0100,1,Kit Paseo Forest Green - S / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Madrid,'28015,M,ES,Madrid,'28015,M,ES,Merit,,,MONEI Pay · Bizum,0.0,RealDogs,0.0,,,,,Low,web,12.6,VAT 21 %,8.23,,,,,,,,,,,Madrid,Madrid,,,email13@gmail.com,547024446,Name_0013,Street_0013,Addr_0013,,ID_5DF97FA5DD
13,#5581,paid,2025-11-02 15:02:28 +0100,fulfilled,2025-11-02 20:33:27 +0100,yes,EUR,52.54,3.99,9.12,56.53,,13.96,Estándar,2025-11-02 15:02:27 +0100,1,Arnés Comfort Baby Blue - S,37.5,,RDHAR-BABY-S,True,True,fulfilled,Madrid,'28035,M,ES,Madrid,'28035,M,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,7.87,VAT 21 %,9.12,,,,,,,,,,,Madrid,Madrid,,,email14@gmail.com,+34635810270,Name_0014,Street_0014,Addr_0014,,ID_84386D40F7
14,#5581,,,,,,,,,,,,,,2025-11-02 15:02:27 +0100,1,Correa Manos Libres Baby Blue - Manos Libres,29.0,,RDLEA-BABY-STANDARD,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,6.09,,,,,,,,,,,,,,,,,email15@gmail.com,+6622249865,,,,,
15,#5580,paid,2025-11-02 13:31:31 +0100,fulfilled,2025-11-02 20:33:25 +0100,no,EUR,45.82,3.99,7.95,49.81,,12.18,Estándar,2025-11-02 13:31:28 +0100,1,Kit Paseo Pirate Black - M / Clásica (1.80m),58.0,72.0,RDKIT-BLACK-M,True,True,fulfilled,Barcelona,'08012,B,ES,Barcelona,'08012,B,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,VAT 21 %,7.95,,,,,,,,,,,Barcelona,Barcelona,,,email16@gmail.com,454272692,Name_0015,Street_0015,Addr_0015,,ID_832EA4126D
16,#5579,paid,2025-11-02 11:27:56 +0100,fulfilled,2025-11-02 20:33:24 +0100,yes,EUR,32.47,3.99,0.0,36.46,,8.63,Standard Shipping,2025-11-02 11:27:56 +0100,1,"The Limited Edition ""Clouds Sweater"" - XXXS",41.1,,,True,True,fulfilled,BÖNNINGSTEDT,'25474,,DE,Bönningstedt,'25474,,DE,,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,8.63,,,,,,,,,,,,,,,,,email17@gmx.net,866669958917,Name_0016,Street_0016,Addr_0016,,ID_6CDD63B2CA
17,#5578,paid,2025-11-02 10:05:41 +0100,fulfilled,2025-11-02 20:33:23 +0100,yes,EUR,45.82,3.99,0.0,49.81,,12.18,Standard Shipping,2025-11-02 10:05:41 +0100,1,Kit Paseo Matcha Green - M / Clásica (1.80m),58.0,72.0,RDKIT-MATCHA-M,True,True,fulfilled,Creuzier Le Vieux,'03300,,FR,Creuzier-le-Vieux,'03300,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,,,,,,,,,,,,,,,,,email18@hotmail.com,9184467611,Name_0017,Street_0017,Addr_0017,,ID_3CD4299D93
18,#5577,paid,2025-11-02 10:02:39 +0100,fulfilled,2025-11-02 20:33:22 +0100,yes,EUR,27.06,3.99,0.0,31.05,,7.19,Standard Shipping,2025-11-02 10:02:38 +0100,1,Collar Forest Green - M,34.25,,RDCOL-FOREST-M,True,True,fulfilled,Dilbeek,'1700,,BE,Dilbeek,'1700,,BE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,7.19,,,,,,,,,,,,,,,,,email19@hotmail.com,3321209683,Name_0018,Street_0018,Addr_0018,,ID_B2DC03CA0C
19,#5576,paid,2025-11-02 02:39:53 +0100,fulfilled,2025-11-02 20:33:21 +0100,yes,EUR,45.82,3.99,7.95,49.81,,12.18,Estándar,2025-11-02 02:39:52 +0100,1,Kit Paseo Honey Yellow - M / Clásica (1.80m),58.0,72.0,RDKIT-YELLOW-M,True,True,fulfilled,Madrid,'28014,M,ES,Madrid,'28011,M,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,VAT 21 %,7.95,,,,,,,,,,,Madrid,Madrid,,,email20@gmail.com,+5495005045385,Name_0019,Street_0019,Addr_0019,,ID_5CBB32C1E6
20,#5575,paid,2025-11-02 01:19:15 +0100,fulfilled,2025-11-02 20:33:20 +0100,yes,EUR,28.13,3.99,4.88,32.12,FRIEND25,9.37,Estándar,2025-11-02 01:19:15 +0100,1,Arnés Comfort Chocolate Brown - S,37.5,,RDHAR-BROWN-S,True,True,fulfilled,Borriana,'12530,CS,ES,Borriana,'12530,CS,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,0.0,VAT 21 %,4.88,,,,,,,,,,,Castellón,Castellón,,,email21@gmail.com,922043735,Name_0020,Street_0020,Addr_0020,,ID_7D3AC32605
21,#5574,paid,2025-11-01 15:55:21 +0100,fulfilled,2025-11-02 20:33:19 +0100,yes,EUR,41.08,3.99,0.0,45.07,,10.92,Standard Shipping,2025-11-01 15:55:20 +0100,1,Arnés Comfort Passion Red - S,52.0,,RDHAR-RED-S,True,True,fulfilled,Dublin,D12 V3F4,D,IE,Dublin,D12 V3F4,D,IE,Oreo,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,10.92,,,,,,,,,,,,,Condado de Dublín,Condado de Dublín,,,email22@gmail.com,+353535160146,Name_0021,Street_0021,Addr_0021,,ID_C5BDABA7C7
22,#5573,paid,2025-11-01 14:55:29 +0100,fulfilled,2025-11-02 20:33:18 +0100,yes,EUR,45.82,3.99,0.0,49.81,,12.18,Standard Shipping,2025-11-01 14:55:29 +0100,1,Kit paseo Lavanda Lilac - XS / Clásica (1.80m),58.0,72.0,RDKIT-LILAC-XS,True,True,fulfilled,Palermo,'90127,PA,IT,Palermo,'90127,PA,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,,,,,,,,,,,,,Palermo,Palermo,,,email23@gmail.com,7424333585,Name_0022,Street_0022,Addr_0022,,ID_69AED16A87
23,#5572,paid,2025-11-01 12:34:44 +0100,fulfilled,2025-11-02 20:33:17 +0100,yes,EUR,47.4,3.99,8.23,51.39,,12.6,Estándar,2025-11-01 12:34:43 +0100,1,Kit Paseo Chocolate Brown - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Madrid,'28005,M,ES,Madrid,'28005,M,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,VAT 21 %,8.23,,,,,,,,,,,Madrid,Madrid,,,email24@gmail.com,+34646362615,Name_0023,Street_0023,Addr_0023,,ID_DEDE738F61
24,#5571,paid,2025-11-01 11:37:10 +0100,fulfilled,2025-11-02 20:33:15 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-11-01 11:37:10 +0100,1,Kit Paseo Forest Green - XS / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Mallare,'17045,SV,IT,Mallare,'17045,SV,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,Savona,Savona,,,email25@gmail.com,+393704038388,Name_0024,Street_0024,Addr_0024,,ID_A02BCCE5C7
25,#5570,paid,2025-11-01 09:51:07 +0100,fulfilled,2025-11-02 20:33:14 +0100,no,EUR,45.82,3.99,7.95,49.81,,12.18,Estándar,2025-11-01 09:51:07 +0100,1,Kit paseo Lavanda Lilac - S / Clásica (1.80m),58.0,72.0,RDKIT-LILAC-S,True,True,fulfilled,Andujar,'23740,J,ES,Andújar,'23740,J,ES,Mila,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,VAT 21 %,7.95,,,,,,,,,,,Jaén,Jaén,,,email26@gmail.com,753787119,Name_0025,Street_0025,Addr_0025,,ID_FBB8A76D23
26,#5569,paid,2025-11-01 09:40:29 +0100,fulfilled,2025-11-02 20:33:13 +0100,no,EUR,47.4,3.99,8.23,51.39,,12.6,Estándar,2025-11-01 09:40:29 +0100,1,Kit Paseo Matcha Green - S / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Palencia,'34003,P,ES,Palencia,'34003,P,ES,Abby,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,VAT 21 %,8.23,,,,,,,,,,,Palencia,Palencia,,,,519167150,Name_0026,Street_0026,Addr_0026,,ID_3C68D5976A
27,#5568,paid,2025-10-31 23:02:35 +0100,fulfilled,2025-11-02 20:33:12 +0100,yes,EUR,23.7,3.99,0.0,27.69,,6.3,Entrega ao domicílio,2025-10-31 23:02:35 +0100,1,"The Limited Edition ""Clouds Sweater"" - M",30.0,0.0,,True,True,fulfilled,Porto Salvo,2740-254,PT-11,PT,Porto Salvo,2740-254,PT-11,PT,,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,6.3,,,,,,,,,,,,,Distrito de Lisboa,Distrito de Lisboa,,,email28@gmail.com,665466067,Name_0027,Street_0027,Addr_0027,,ID_22BF8F9578
28,#5567,paid,2025-10-31 21:44:07 +0100,fulfilled,2025-11-02 20:33:11 +0100,yes,EUR,47.4,3.99,8.23,51.39,,12.6,Estándar,2025-10-31 21:44:07 +0100,1,Kit Paseo Tiffany Blue - L / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,sevilla,'41002,SE,ES,Sevilla,'41002,SE,ES,KENIA,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,VAT 21 %,8.23,,,,,,,,,,,Sevilla,Sevilla,,,email29@gmail.com,576624712,Name_0028,Street_0028,Addr_0028,,ID_096BBEECE7
29,#5566,paid,2025-10-31 20:46:01 +0100,fulfilled,2025-11-02 20:33:10 +0100,yes,EUR,62.78,3.99,0.0,66.77,,16.68,Standard Shipping,2025-10-31 20:46:00 +0100,1,Kit Paseo Honey Yellow - S / Clásica (1.80m),79.46,98.64,RDKIT-YELLOW-S,True,True,fulfilled,Berlin,'10785,,DE,Berlin,'10785,,DE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,16.68,,,,,,,,,,,,,,,,,email30@gmail.com,+4913829328424,Name_0029,Street_0029,Addr_0029,,ID_FAE49C869A
30,#5565,paid,2025-10-31 19:37:24 +0100,fulfilled,2025-11-02 20:33:09 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Entrega ao domicílio,2025-10-31 19:37:23 +0100,1,Kit Paseo Navy Blue - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Soutelo Vvd,4730-572,PT-03,PT,Soutelo Vvd,4730-572,PT-03,PT,,,,MONEI MBWay,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,Distrito de Braga,Distrito de Braga,,,email31@gmail.com,512520270,Name_0030,Street_0030,Addr_0030,,ID_5DE68C258F
31,#5564,paid,2025-10-31 18:50:37 +0100,fulfilled,2025-11-02 20:33:07 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-10-31 18:50:36 +0100,1,Kit Paseo Baby Blue - S / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Roma,'00151,RM,IT,Roma,'00146,RM,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,Roma,Roma,,,email32@gmail.com,+393343336820,Name_0031,Street_0031,Addr_0031,,ID_DE92F54583
32,#5563,paid,2025-10-31 17:45:17 +0100,fulfilled,2025-11-02 20:33:06 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-10-31 17:45:16 +0100,1,Kit Paseo Chocolate Brown - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Le Mans,'72100,,FR,Le Mans,'72100,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,,,,,email33@gmail.com,0723225193,Name_0032,Street_0032,Addr_0032,,ID_557EB82DA0
33,#5562,paid,2025-10-31 17:28:18 +0100,fulfilled,2025-11-02 20:33:05 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-10-31 17:28:18 +0100,1,Kit Paseo Pale Pink - S / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Loano,'17025,SV,IT,Loano,'17025,SV,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,Savona,Savona,,,email34@gmail.com,7278147601,Name_0033,Street_0033,Addr_0033,,ID_3FE4CD3C2C
34,#5561,paid,2025-10-31 13:51:07 +0100,fulfilled,2025-11-02 20:33:04 +0100,yes,EUR,64.94,3.99,0.0,68.93,,17.26,Standard Shipping,2025-10-31 13:51:07 +0100,1,Kit Paseo Honey Yellow - S / Manos Libres (1.80m),82.2,98.64,,True,True,fulfilled,Vlijtingen,'3770,,BE,Vlijtingen,'3770,,BE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,17.26,,,,,,,,,,,,,,,,,email35@gmail.com,+32473809999,Name_0034,Street_0034,Addr_0034,,ID_6C40758EBC
35,#5560,paid,2025-10-31 13:34:33 +0100,fulfilled,2025-11-02 20:33:03 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-10-31 13:34:32 +0100,1,Kit Paseo Matcha Green - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Montpellier,'34090,,FR,Montpellier,'34090,,FR,,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,,,,,email36@outlook.com,2237487225,Name_0035,Street_0035,Addr_0035,,ID_E313F236DD
36,#5559,paid,2025-10-31 12:00:11 +0100,fulfilled,2025-11-02 20:33:02 +0100,yes,EUR,22.91,3.99,0.0,26.9,,6.09,Standard Shipping,2025-10-31 12:00:10 +0100,1,Correa Manos Libres Light Grey - Manos Libres,29.0,,RDLEA-GREY-STANDARD,True,True,fulfilled,Saint-cecile,'71250,,FR,Saint-cecile,'71250,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,6.09,,,,,,,,,,,,,,,,,email37@gmail.com,9988436217,Name_0036,Street_0036,Addr_0036,,ID_ED68E6EB01
37,#5558,paid,2025-10-31 08:53:03 +0100,fulfilled,2025-11-02 20:33:01 +0100,no,EUR,45.82,3.99,7.95,49.81,,12.18,Estándar,2025-10-31 08:53:02 +0100,1,Kit Paseo Chocolate Brown - L / Clásica (1.80m),58.0,72.0,RDKIT-BROWN-L,True,True,fulfilled,Sevilla,'41013,SE,ES,Sevilla,'41013,SE,ES,,,,MONEI Pay · Bizum,0.0,RealDogs,0.0,,,,,Low,web,12.18,VAT 21 %,7.95,,,,,,,,,,,Sevilla,Sevilla,,,,+34692112257,Name_0037,Street_0037,Addr_0037,,ID_038FCFF4BC
38,#5557,paid,2025-10-30 15:49:36 +0100,fulfilled,2025-11-02 20:33:00 +0100,yes,EUR,47.4,3.99,8.23,51.39,,12.6,Estándar,2025-10-30 15:49:35 +0100,1,Kit Paseo Baby Blue - XL / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Figueres,'17600,GI,ES,Figueres,'17600,GI,ES,Duc,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,VAT 21 %,8.23,,,,,,,,,,,Gerona,Gerona,,,email39@gmail.com,+34669003014,Name_0038,Street_0038,Addr_0038,,ID_99B81EEAF4
39,#5556,paid,2025-10-30 00:57:01 +0100,fulfilled,2025-11-02 20:35:06 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Entrega ao domicílio,2025-10-30 00:57:00 +0100,1,Kit Paseo Light Grey - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Lisboa,1500-552,PT-11,PT,Lisboa,1500-552,PT-11,PT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,Distrito de Lisboa,Distrito de Lisboa,,,email40@gmail.com,+351192448636,Name_0039,Street_0039,Addr_0039,,ID_9E7859ED8E
40,#5555,paid,2025-10-29 16:34:41 +0100,fulfilled,2025-10-29 18:59:04 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-10-29 16:34:41 +0100,1,Kit Paseo Chocolate Brown - L / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Les Riceys,'10340,,FR,Les Riceys,'10340,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,,,,,email41@live.fr,+33616738578,Name_0040,Street_0040,Addr_0040,,ID_F3C08A72CF
41,#5554,paid,2025-10-29 15:49:09 +0100,fulfilled,2025-10-29 18:59:05 +0100,yes,EUR,55.63,3.99,0.0,59.62,THANKYOU-wEN4ZQ,23.83,Standard Shipping,2025-10-29 15:49:09 +0100,1,Kit Paseo Matcha Green - S / Clásica (1.80m),79.46,98.64,RDKIT-MATCHA-S,True,True,fulfilled,Neu-Ulm,'89231,,DE,Neu-Ulm,'89231,,DE,Nino,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,0.0,,,,,,,,,,,,,,,,,email42@yahoo.de,91905 7786777,Name_0041,Street_0041,Addr_0041,,ID_CCE16C5E7F
42,#5553,paid,2025-10-29 14:03:04 +0100,fulfilled,2025-10-29 18:59:08 +0100,yes,EUR,47.4,3.99,8.23,51.39,,12.6,Estándar,2025-10-29 14:03:03 +0100,1,Kit Paseo Honey Yellow - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Alicante (Alacant),'03013,A,ES,Alicante (Alacant),'03013,A,ES,Judy,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,VAT 21 %,8.23,,,,,,,,,,,Alicante,Alicante,,,email43@my.com,+34649845896,Name_0042,Street_0042,Addr_0042,,ID_67DE49221A
43,#5552,paid,2025-10-29 10:47:03 +0100,fulfilled,2025-10-29 18:59:09 +0100,no,EUR,45.82,3.99,7.95,49.81,,12.18,Estándar,2025-10-29 10:47:02 +0100,1,Kit Paseo Pirate Black - M / Clásica (1.80m),58.0,72.0,RDKIT-BLACK-M,True,True,fulfilled,San Fernando,'11100,CA,ES,San Fernando,'11100,CA,ES,Blue,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,VAT 21 %,7.95,,,,,,,,,,,Cádiz,Cádiz,,,,416313709,Name_0043,Street_0043,Addr_0043,,ID_70E5EDF5B4
